epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
93,335.046,0.49308,0.74667,0.39873,0.90492,0,0.68397,0.64506,0.6717,0.5279,0.82917,0.47077,0.58689,0.31563,0.97932,1.83848,1.17685,1.17158,0,0.000633028,0.000633028,0.000633028
94,338.698,0.50488,0.77643,0.40188,0.90082,0,0.83195,0.55714,0.68821,0.53584,0.77896,0.48926,0.57906,0.32535,0.98874,1.87723,1.18466,1.17592,0,0.000630028,0.000630028,0.000630028
95,342.36,0.52871,0.77569,0.41234,0.90874,0,0.83937,0.55941,0.69857,0.53143,0.78757,0.47888,0.57941,0.32964,0.96708,1.85865,1.25675,1.1674,0,0.000627028,0.000627028,0.000627028
96,345.947,0.49314,0.72265,0.40144,0.8988,0,0.74283,0.54514,0.68895,0.52478,0.70009,0.48571,0.57981,0.32524,0.948,1.86431,1.23332,1.14414,0,0.000624028,0.000624028,0.000624028
97,349.607,0.4989,0.74597,0.38724,0.89349,0,0.61978,0.6309,0.67392,0.53098,0.58914,0.56052,0.5722,0.3274,0.88343,1.86169,1.2286,1.10317,0,0.000621029,0.000621029,0.000621029
98,353.266,0.49588,0.7519,0.38284,0.90721,0,0.65371,0.63164,0.66496,0.52395,0.65437,0.54798,0.57472,0.32977,0.85811,1.80472,1.23244,1.08735,0,0.000618029,0.000618029,0.000618029
99,356.943,0.50507,0.75997,0.40636,0.90768,0,0.61056,0.67856,0.66852,0.52511,0.64357,0.52827,0.57765,0.33513,0.87092,1.69457,1.21452,1.0765,0,0.000615029,0.000615029,0.000615029
100,360.531,0.53305,0.80762,0.42165,0.91848,0,0.73338,0.5648,0.65943,0.5084,0.69309,0.51169,0.57074,0.32394,0.92398,1.69629,1.29631,1.09911,0,0.00061203,0.00061203,0.00061203
101,364.207,0.50312,0.7822,0.39764,0.8963,0,0.68146,0.58056,0.65071,0.50812,0.64412,0.48601,0.55898,0.3134,0.84972,1.65975,1.39734,1.06879,0,0.00060903,0.00060903,0.00060903
102,367.833,0.50985,0.7738,0.41325,0.91205,0,0.80329,0.54169,0.65053,0.50585,0.75757,0.47748,0.55273,0.30754,0.84101,1.69234,1.41734,1.06976,0,0.00060603,0.00060603,0.00060603
103,371.478,0.52036,0.7585,0.3961,0.91949,0,0.79272,0.57857,0.65554,0.51232,0.74429,0.5,0.55809,0.29824,0.89587,1.83569,1.52301,1.10416,0,0.000603031,0.000603031,0.000603031
104,375.122,0.50032,0.74178,0.38765,0.89927,0,0.69121,0.64268,0.68095,0.53408,0.68445,0.51938,0.56266,0.31062,0.85046,1.88859,1.43362,1.09555,0,0.000600031,0.000600031,0.000600031
105,378.835,0.48542,0.71867,0.37932,0.89878,0,0.79291,0.62677,0.73726,0.57905,0.71447,0.51023,0.59483,0.33532,0.88476,1.96763,1.31584,1.10622,0,0.000597031,0.000597031,0.000597031
106,382.459,0.52057,0.78029,0.41628,0.89573,0,0.74526,0.62746,0.75548,0.58164,0.68325,0.53088,0.6186,0.33537,0.90214,1.98758,1.23974,1.11409,0,0.000594031,0.000594031,0.000594031
107,386.134,0.48329,0.75763,0.38819,0.89162,0,0.83302,0.6107,0.73336,0.55688,0.76592,0.51213,0.59099,0.3277,0.88022,1.92065,1.17815,1.10067,0,0.000591032,0.000591032,0.000591032
108,389.797,0.47884,0.72012,0.38309,0.89587,0,0.82925,0.58001,0.70762,0.53846,0.77523,0.50714,0.58867,0.32221,0.88281,1.8586,1.21048,1.10121,0,0.000588032,0.000588032,0.000588032
109,393.439,0.47006,0.72556,0.37597,0.89207,0,0.73398,0.57438,0.65213,0.49664,0.72619,0.4619,0.56567,0.3122,0.92335,1.74462,1.47233,1.11494,0,0.000585032,0.000585032,0.000585032
110,397.075,0.46359,0.71347,0.37284,0.88036,0,0.69621,0.59707,0.65068,0.49691,0.62904,0.51956,0.57402,0.3175,0.92583,1.71592,1.51937,1.10891,0,0.000582033,0.000582033,0.000582033
111,400.763,0.48338,0.73581,0.37754,0.90472,0,0.63331,0.6125,0.6429,0.50718,0.57461,0.54107,0.57048,0.30422,0.89619,1.8668,1.45304,1.10036,0,0.000579033,0.000579033,0.000579033
112,404.477,0.49914,0.77232,0.39566,0.89227,0,0.63204,0.56429,0.6375,0.48968,0.60689,0.51926,0.57053,0.29932,0.92584,1.93932,1.4939,1.11475,0,0.000576033,0.000576033,0.000576033
113,408.38,0.4939,0.72598,0.37975,0.90655,0,0.7587,0.5045,0.62613,0.49394,0.61982,0.5145,0.53904,0.29359,0.91945,2.01192,1.43947,1.11228,0,0.000573034,0.000573034,0.000573034
114,411.941,0.46752,0.74484,0.366,0.89031,0,0.74558,0.54286,0.63678,0.50351,0.69754,0.49286,0.5521,0.29536,0.93036,2.04444,1.41155,1.11092,0,0.000570034,0.000570034,0.000570034
115,415.471,0.47148,0.73635,0.37525,0.89063,0,0.76849,0.51802,0.64121,0.51511,0.71905,0.46818,0.56594,0.30751,0.90772,2.02074,1.37016,1.08889,0,0.000567034,0.000567034,0.000567034
116,418.933,0.47386,0.72544,0.38944,0.90003,0,0.64993,0.62146,0.67124,0.54121,0.60374,0.56457,0.60407,0.32147,0.88147,1.94988,1.2896,1.07822,0,0.000564034,0.000564034,0.000564034
117,422.494,0.48208,0.74578,0.37612,0.88543,0,0.62144,0.61429,0.64201,0.52152,0.71281,0.46165,0.56469,0.3101,0.87285,1.88476,1.31177,1.05204,0,0.000561035,0.000561035,0.000561035
118,425.969,0.4843,0.74411,0.37437,0.90134,0,0.63494,0.60211,0.63788,0.51263,0.72832,0.45616,0.55628,0.30916,0.88198,1.88491,1.3388,1.05546,0,0.000558035,0.000558035,0.000558035
119,429.712,0.49311,0.77034,0.37798,0.90398,0,0.79287,0.48313,0.64939,0.51231,0.77581,0.46187,0.57554,0.3112,0.90836,1.87161,1.37274,1.0929,0,0.000555035,0.000555035,0.000555035
120,433.349,0.47738,0.72616,0.37201,0.88733,0,0.80277,0.49014,0.6584,0.52419,0.77421,0.45976,0.57453,0.31612,0.87717,1.85629,1.34985,1.09228,0,0.000552036,0.000552036,0.000552036
121,436.857,0.46164,0.72199,0.36543,0.88098,0,0.69712,0.55875,0.6707,0.54658,0.86289,0.43604,0.57388,0.3164,0.87909,1.96526,1.35868,1.10116,0,0.000549036,0.000549036,0.000549036
122,440.316,0.47541,0.74223,0.37626,0.89857,0,0.64754,0.63301,0.66164,0.52893,0.87295,0.43624,0.57488,0.31307,0.8833,1.96734,1.35669,1.09538,0,0.000546036,0.000546036,0.000546036
