epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
99,203.78,0.49361,0.81074,0.57316,0.89591,0,0.6511,0.65714,0.70872,0.54909,0.59427,0.56639,0.63421,0.32783,0.87804,1.61587,1.14667,1.14535,0,0.000321059,0.000321059,0.000321059
100,205.684,0.51515,0.7899,0.59455,0.93111,0,0.66271,0.66136,0.73089,0.56129,0.5646,0.62348,0.65399,0.33687,0.87616,1.6333,1.13665,1.14329,0,0.000315059,0.000315059,0.000315059
101,207.636,0.50484,0.79683,0.56715,0.9109,0,0.66574,0.69241,0.73924,0.57073,0.59352,0.61885,0.66615,0.3439,0.88113,1.6267,1.12644,1.13927,0,0.00030906,0.00030906,0.00030906
102,209.663,0.50966,0.80124,0.57133,0.91567,0,0.64853,0.77602,0.74825,0.58794,0.60449,0.73405,0.70593,0.36048,0.86908,1.58072,1.10117,1.12199,0,0.000303061,0.000303061,0.000303061
103,211.594,0.51475,0.8378,0.58152,0.92224,0,0.63473,0.78571,0.74645,0.58916,0.59292,0.74286,0.7056,0.35978,0.84847,1.55244,1.08397,1.11354,0,0.000297061,0.000297061,0.000297061
104,213.552,0.49139,0.78196,0.55044,0.90688,0,0.62505,0.78571,0.74399,0.5949,0.57446,0.72857,0.69123,0.36097,0.82298,1.54271,1.07644,1.10418,0,0.000291062,0.000291062,0.000291062
105,215.55,0.50109,0.79775,0.56372,0.89642,0,0.62208,0.78571,0.74027,0.5917,0.57491,0.69698,0.67606,0.35645,0.82835,1.53709,1.06929,1.1059,0,0.000285062,0.000285062,0.000285062
106,217.494,0.49445,0.76921,0.56299,0.91389,0,0.60911,0.75023,0.71251,0.56933,0.57392,0.69904,0.66086,0.34594,0.81501,1.54062,1.04936,1.10562,0,0.000279063,0.000279063,0.000279063
107,219.432,0.50279,0.82013,0.56613,0.92231,0,0.59959,0.72269,0.70399,0.5661,0.56026,0.65802,0.64589,0.33875,0.80997,1.56545,1.05095,1.10555,0,0.000273064,0.000273064,0.000273064
108,221.356,0.50639,0.83244,0.57764,0.92383,0,0.62202,0.71582,0.69614,0.55096,0.56469,0.65,0.63568,0.33109,0.81999,1.58324,1.05948,1.10963,0,0.000267064,0.000267064,0.000267064
109,223.3,0.45379,0.72537,0.53735,0.90879,0,0.60429,0.72762,0.68786,0.53801,0.57762,0.62593,0.61538,0.32161,0.85436,1.58785,1.09128,1.12604,0,0.000261065,0.000261065,0.000261065
110,225.263,0.48918,0.81535,0.55796,0.92123,0,0.61135,0.75242,0.68834,0.5406,0.55956,0.64327,0.61584,0.32463,0.86709,1.55362,1.10875,1.12977,0,0.000255065,0.000255065,0.000255065
111,227.185,0.48617,0.79972,0.54911,0.92232,0,0.63537,0.76194,0.69757,0.54756,0.58494,0.65258,0.62578,0.33011,0.85321,1.53227,1.08996,1.11999,0,0.000249066,0.000249066,0.000249066
112,229.116,0.49763,0.77935,0.57456,0.93458,0,0.64908,0.77817,0.71516,0.56345,0.5847,0.668,0.62874,0.33588,0.8505,1.50622,1.07121,1.11463,0,0.000243067,0.000243067,0.000243067
113,231.072,0.48261,0.78535,0.54538,0.89929,0,0.65997,0.77401,0.73235,0.57368,0.72294,0.53499,0.64963,0.3479,0.85607,1.48951,1.04144,1.11581,0,0.000237067,0.000237067,0.000237067
114,233.053,0.49512,0.80851,0.56026,0.91222,0,0.65157,0.74286,0.73936,0.58165,0.75483,0.52287,0.66165,0.35566,0.84126,1.47375,1.02065,1.11349,0,0.000231068,0.000231068,0.000231068
115,234.952,0.46346,0.75546,0.53555,0.9108,0,0.64361,0.74349,0.74416,0.58425,0.77242,0.52853,0.67629,0.35922,0.85819,1.4937,1.02959,1.12349,0,0.000225068,0.000225068,0.000225068
116,236.89,0.48059,0.80486,0.54376,0.89906,0,0.80462,0.58296,0.74156,0.57892,0.77637,0.514,0.66964,0.35331,0.86732,1.5289,1.03949,1.13003,0,0.000219069,0.000219069,0.000219069
117,238.823,0.48027,0.77163,0.53013,0.89813,0,0.80929,0.58063,0.74056,0.57844,0.75905,0.51429,0.65898,0.35096,0.86712,1.56619,1.04847,1.12816,0,0.00021307,0.00021307,0.00021307
118,240.822,0.46586,0.7409,0.5205,0.88878,0,0.7677,0.58705,0.71505,0.56847,0.72878,0.53971,0.64207,0.34027,0.85333,1.63412,1.09979,1.11823,0,0.00020707,0.00020707,0.00020707
119,242.738,0.4818,0.79468,0.53238,0.91123,0,0.65062,0.68544,0.71011,0.56523,0.69266,0.53029,0.63421,0.33885,0.84365,1.6456,1.1099,1.11356,0,0.000201071,0.000201071,0.000201071
120,244.694,0.47649,0.76147,0.5386,0.91199,0,0.63365,0.72654,0.71157,0.56524,0.88908,0.4412,0.63654,0.34522,0.85137,1.643,1.11154,1.11715,0,0.000195071,0.000195071,0.000195071
121,246.669,0.44313,0.76106,0.51801,0.87378,0,0.64169,0.73484,0.71617,0.56483,0.88875,0.43096,0.64273,0.34551,0.86105,1.64954,1.11299,1.11939,0,0.000189072,0.000189072,0.000189072
122,248.637,0.48582,0.79488,0.53229,0.90795,0,0.63169,0.74219,0.72134,0.56923,0.56522,0.65283,0.64051,0.34348,0.85809,1.65132,1.09389,1.11774,0,0.000183073,0.000183073,0.000183073
